rank,cluster,stock_1,stock_2,crossings,half_life,hedge_ratio,correlation
221,26,fhn,drh,10,16.86,-0.0782,0.4048
222,26,ben,luk,10,17.51,0.5473,0.5019
223,20,rop,mmm,10,25.31,0.7987,0.6228
224,2,cvg,l,10,30.73,0.686,0.3334
225,16,san,slb,10,64.99,-0.432,0.4271
226,21,brk-b,axp,10,304.44,0.9061,0.6087
227,18,sn,mdr,9,1.31,1.2147,0.5683
228,18,bte,sn,9,1.38,1.0732,0.7485
229,18,cpe,obe,9,1.47,0.6127,0.6709
230,18,cpe,mur,9,1.91,0.7265,0.5354
231,18,cpe,crzo,9,2.23,0.3461,0.6157
232,18,bte,cpe,9,2.4,2.1068,0.661
233,2,ewbc,aple,9,4.78,0.6852,0.4373
234,29,sti,mas,9,5.29,0.9829,0.3432
235,2,ewbc,cfx,9,5.47,0.333,0.4004
236,2,avt,ev,9,5.79,0.9269,0.5852
237,29,kkr,nycb,9,6.0,0.7536,0.3933
238,2,avt,cfx,9,6.23,0.5002,0.4701
239,29,pbct,ntap,9,6.36,0.544,0.3721
240,29,isbc,nycb,9,6.64,0.374,0.6834
241,2,avt,vsh,9,8.09,0.3289,0.5557
242,29,sti,ntap,9,9.01,0.4303,0.2939
243,12,itw,pfg,9,10.0,1.1761,0.5048
244,20,fcnca,coo,9,12.62,0.8518,0.2241
245,26,luk,drh,9,16.7,0.3372,0.3389
246,12,itw,aph,9,23.14,0.5745,0.5315
247,6,apa,nov,9,24.12,1.2284,0.5205
248,20,rop,fdx,9,28.07,0.6715,0.4835
249,20,mmm,ayi,9,34.48,-0.2826,0.2907
250,26,mfc,cit,9,38.72,0.5868,0.4128
251,26,unm,fhn,9,43.38,0.1316,0.7052
252,26,mfc,luk,9,46.14,-0.0488,0.5104
253,26,mfc,fhn,9,50.87,0.0259,0.5548
254,17,bh,cabo,9,55.33,0.0138,0.1047
255,17,regn,atri,9,56.7,-0.0632,0.1076
256,16,usb,san,9,71.17,0.4586,0.6043
257,17,blk,bh,9,242.88,-0.0672,0.2488
258,17,blk,uhal,9,444.21,0.3621,0.373
259,17,mtd,uhal,9,,0.3453,0.3221
260,18,cpe,sn,8,2.9,0.3712,0.6206
261,2,ev,ewbc,8,5.21,0.4966,0.5616
262,2,cfx,l,8,6.09,1.0579,0.451
263,20,ayi,avb,8,17.0,-0.7865,0.3318
264,26,luk,unm,8,21.72,0.2788,0.6413
265,8,azo,wtm,8,37.29,-0.6552,0.1609
266,16,san,dwdp,8,60.88,0.707,0.4265
267,5,kpti,jnce,8,,0.4777,0.782
268,18,mtdr,mur,7,1.98,0.7751,0.7313
269,18,bte,mtdr,7,2.53,2.1454,0.6411
270,18,sn,mtdr,7,2.92,1.7754,0.6769
271,18,bte,obe,7,4.39,1.4587,0.7596
272,12,pfg,dvmt,7,14.07,0.1453,0.2195
273,20,mmm,avb,7,15.22,1.8733,0.2874
274,26,luk,fhn,7,17.36,0.023,0.635
275,12,itw,ftv,7,18.91,0.7306,0.5867
276,12,aph,pfg,7,25.33,1.2688,0.3503
277,12,dvmt,emn,7,30.56,1.405,0.3171
278,26,mfc,drh,7,41.92,0.6283,0.3873
279,26,unm,cit,7,49.04,0.431,0.5988
280,16,fitb,slb,7,351.2,0.1225,0.4091
281,17,mtd,regn,7,2249.76,-0.2461,0.3546
282,2,vsh,aple,7,,0.5918,0.3169
283,18,mtdr,crzo,6,2.12,0.3856,0.6215
284,18,cpe,mdr,6,2.83,0.5258,0.7172
285,29,pbct,zion,6,10.88,1.052,0.7468
286,2,aple,l,6,13.56,-0.0005,0.4625
287,5,chma,jnce,5,0.27,0.932,0.8043
288,5,chma,kpti,5,0.41,1.8437,0.9154
289,5,sndx,drna,5,1.06,0.3479,0.7804
290,18,mdr,mtdr,5,3.01,1.2785,0.4751
291,18,mdr,obe,5,3.53,0.8733,0.5181
292,18,sn,obe,5,3.99,1.0948,0.6039
293,18,bte,mur,5,4.16,1.8184,0.5978
294,18,bte,crzo,5,6.13,0.8001,0.678
295,29,sti,nycb,5,15.73,0.7974,0.7426
296,20,fcnca,avb,5,32.08,1.6249,0.1732
297,26,mfc,ben,5,55.96,0.8635,0.5367
298,2,vsh,l,5,337.35,1.5649,0.36
