Ticker,Daily Return_25th,Daily Return_50th,Daily Return_75th,MA-10_25th,MA-10_50th,MA-10_75th,EMA_25th,EMA_50th,EMA_75th,Volatility-10_25th,Volatility-10_50th,Volatility-10_75th,RSI_25th,RSI_50th,RSI_75th,Volume MA-20_25th,Volume MA-20_50th,Volume MA-20_75th,High-Low_25th,High-Low_50th,High-Low_75th,Close-Open_25th,Close-Open_50th,Close-Open_75th,ROC-10_25th,ROC-10_50th,ROC-10_75th,Log Returns_25th,Log Returns_50th,Log Returns_75th,Cluster
dmrc,-1.8405824155310808,0.0,1.81103837157362,27.599,30.476999999999997,35.45325,27.929061039298364,30.749921364136338,34.865775273801,2.243327013192296,3.00995268313307,3.827437139288522,40.35122835110194,51.80194805194806,62.347246595872775,47486.0375,62144.8,97312.375,3.202430175849493,4.3943674963127695,6.036223445803802,-1.925539902433758,0.0,1.631803820110889,-5.092374550349524,0.7547423450335988,6.76424801883046,-0.0185773276103994,0.0,0.0179483439985211,0
coll,-2.6039371326680216,-0.1581249999999922,2.4316642477019923,11.70025,15.9015,18.222250000000003,11.853742392424373,15.920774067144542,18.264881476521595,2.907816890245984,3.742757496319967,4.647506648657008,34.692929707743,47.79208156828226,60.4900806015326,138307.6625,230632.825,381608.6625,4.695166290328757,6.410256410256404,8.586031548497004,-2.6530645561827155,-0.2827521206408988,2.2089627038249944,-9.02989627821843,-1.5064935064935003,9.068010075566749,-0.0263843984945496,-0.0015825016715781,0.0240256974252521,2
agn_a,-0.7544217867465841,-0.057141974641317,0.7240767426073713,812.272,855.7520000000001,952.704,821.6459016043913,852.7801946207995,960.5050453203432,0.8913820499362975,1.2065826299366114,1.6953564932550589,34.634937007293914,46.445891644727745,60.45347928068805,17349.925000000003,27912.15,44292.275,0.9507977904260958,1.4213537346897709,2.206327530214344,-0.7774504247402495,-0.0693087070716771,0.5864567403324392,-3.381074872506934,-0.7513252095373846,2.3252392107063926,-0.0075728194207839,-0.0005715830688965,0.0072146789277509,0
rexr_a,-0.3620090262898168,0.0,0.3988047761336099,23.908085,25.027145,25.2951,23.907566721445814,25.025453760931736,25.350599081081196,0.4277226173260386,0.6018688509332487,0.8241241403200872,42.512800360258026,52.440641560486014,60.73141081266647,8560.025,11159.625,16432.2875,0.2374469496933635,0.5419038205923536,1.003853378155054,-0.1214916498918126,0.0145637182353576,0.3608663106556358,-0.8120567375886512,0.2376237623762378,1.144069297461936,-0.0036266586743718,0.0,0.0039801165550608,8
wpcs,-2.8723021582733654,-0.0219981564084592,2.1938063546586397,1.283655,1.390045,1.5579925,1.2947521382584066,1.393219634922839,1.5878923377799297,2.807109446919162,4.056986506180706,6.478636548688735,39.30482479540997,47.97436846339502,55.405216247294355,21302.5,65421.3,153961.4,5.067878157154631,8.189269746646799,13.098175257952487,-3.669828364950309,-0.7566504742077271,1.9563874307772835,-7.760213764858645,-0.9208298526733716,4.30124223602485,-0.0291436011942181,-0.0002200154760733,0.0217008844345443,2
jhd,-0.1970443349753603,0.0,0.1997055993024465,9.5669775,9.8136,10.04725,9.530080315745636,9.769340593404644,10.03010222969983,0.2213828635058356,0.3339601103959671,0.5786939078872532,47.897808279271466,53.77873074493406,59.90496304118265,44221.75,53074.5,64547.1375,0.3976143141152997,0.5916971190617815,0.8813281410125057,-0.2115390810398732,0.0,0.2486325211337678,-0.1988071570576677,0.199800199800193,0.6928583941894884,-0.0019723872272042,0.0,0.0019950645260016,8
ath,-0.6632378255316818,0.0605531609780718,0.7100527379597155,49.586499999999994,51.273,52.73625,49.74495638278912,50.95768349166688,52.396842868179746,0.8960946665188709,1.109604571280835,1.4024080455074357,45.15431890322146,53.617273531066616,62.92867736413648,697293.8375,989505.275,1386409.2125,1.3953488372092977,1.7577017577017708,2.409162717219587,-0.7511365882585541,-0.0188643652141067,0.7243539545810582,-1.276571473801591,0.6325581395348889,2.4671201784682517,-0.0066544783481003,0.0006053483429999,0.0070754359341631,8
yrcw,-2.0048033110091787,-0.1102204169118603,1.920153044175632,10.42925,12.84,14.91675,10.755149508075348,12.896300181272878,15.194987634725582,2.20325478858706,2.731783017647227,4.040598617644593,34.78476001979219,48.60514723252874,61.96642910727684,500038.7875,616659.375,742326.45,3.2856807900253724,4.335857361333886,5.8008245175729085,-1.7515585599091783,-0.0708330407039205,1.6757164902378503,-7.752905675521329,-0.918675451976686,7.003959027410622,-0.0202517494798438,-0.0011028214416396,0.019019506210919,0
hcc,-1.2661320073049431,0.0425966944965106,1.408472250152237,17.3642,21.3011,24.458,17.499224407378588,19.210121837911963,24.29923002079392,1.6582752341413691,2.034218433655294,2.351748948221396,40.953460124669064,53.55528154541718,72.7782081056435,383203.6,440887.85,560734.5,2.45135272744105,3.3247278012160493,4.280270542099142,-1.284008730928647,0.0509976797465897,1.3577027327030426,-4.124647609762608,1.0129173697083993,10.281083699999032,-0.0127422841268275,0.0004258762468013,0.0139863933715611,0
tapr,-2.0340390203403835,-0.0833333333333352,1.9170984455958664,22.57571,26.52473,31.5366,22.60812829463251,26.67641028880107,31.67701851704261,2.323749458212859,2.892578718603628,3.7433881734731225,37.20865704772475,50.28018267910677,60.44674133299823,1177.8,1962.8,3745.5,0.2322760818292069,1.4342895263508997,2.538071065989856,-0.7509433962264213,0.0,0.7160770264218557,-6.935908691834946,-0.1358234295415927,5.855110817069131,-0.0205501045952155,-0.0008336807485774,0.0189895364901279,0
